dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10411;"1;04.11";2;"Mother;Camera_Operator;";2;eng;726;_Providence_Ethan_010411-ortholines.txt;700;1;04;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10426;"1;04.26";2;"Mother;Camera_Operator;";2;eng;580;_Providence_Ethan_010426-ortholines.txt;500;1;04;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10517;"1;05.17";2;"Mother;Camera_Operator;";2;eng;765;_Providence_Ethan_010517-ortholines.txt;700;1;05;17
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10602;"1;06.02";2;"Mother;Toy;";1;eng;679;_Providence_Ethan_010602-ortholines.txt;600;1;06;02
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10620;"1;06.20";2;"Mother;Father;";2;eng;744;_Providence_Ethan_010620-ortholines.txt;700;1;06;20
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10700;"1;07.";1;"Mother;";1;eng;514;_Providence_Ethan_010700-ortholines.txt;500;1;07;
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10714;"1;07.14";2;"Mother;Camera_Operator;";2;eng;834;_Providence_Ethan_010714-ortholines.txt;800;1;07;14
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10726;"1;07.26";2;"Mother;Camera_Operator;";2;eng;723;_Providence_Ethan_010726-ortholines.txt;700;1;07;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10804;"1;08.04";2;"Mother;Toy;";1;eng;667;_Providence_Ethan_010804-ortholines.txt;600;1;08;04
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10820;"1;08.20";1;"Mother;";1;eng;786;_Providence_Ethan_010820-ortholines.txt;700;1;08;20
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10904;"1;09.04";2;"Mother;Camera_Operator;";2;eng;503;_Providence_Ethan_010904-ortholines.txt;500;1;09;04
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10918;"1;09.18";2;"Mother;Camera_Operator;";2;eng;117;_Providence_Ethan_010918-ortholines.txt;100;1;09;18
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10926;"1;09.26";1;"Mother;";1;eng;865;_Providence_Ethan_010926-ortholines.txt;800;1;09;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;11011;"1;10.11";1;"Mother;";1;eng;555;_Providence_Ethan_011011-ortholines.txt;500;1;10;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;11023;"1;10.23";3;"Mother;Camera_Operator;Toy;";2;eng;751;_Providence_Ethan_011023-ortholines.txt;700;1;10;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;11110;"1;11.10";1;"Mother;";1;eng;538;_Providence_Ethan_011110-ortholines.txt;500;1;11;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;11121;"1;11.21";2;"Mother;Camera_Operator;";2;eng;835;_Providence_Ethan_011121-ortholines.txt;800;1;11;21
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20007;"2;00.07";2;"Mother;Camera_Operator;";2;eng;350;_Providence_Ethan_020007-ortholines.txt;300;2;00;07
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20025;"2;00.25";1;"Mother;";1;eng;662;_Providence_Ethan_020025-ortholines.txt;600;2;00;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20122;"2;01.22";1;"Mother;";1;eng;668;_Providence_Ethan_020122-ortholines.txt;600;2;01;22
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20208;"2;02.08";1;"Mother;";1;eng;408;_Providence_Ethan_020208-ortholines.txt;400;2;02;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20222;"2;02.22";1;"Mother;";1;eng;714;_Providence_Ethan_020222-ortholines.txt;700;2;02;22
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20319;"2;03.19";2;"Mother;Camera_Operator;";2;eng;823;_Providence_Ethan_020319-ortholines.txt;800;2;03;19
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20402;"2;04.02";4;"Mother;Camera_Operator;Toy;Toy;";2;eng;938;_Providence_Ethan_020402-ortholines.txt;900;2;04;02
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20419;"2;04.19";1;"Mother;";1;eng;786;_Providence_Ethan_020419-ortholines.txt;700;2;04;19
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20500;"2;05.";2;"Mother;Toy;";1;eng;758;_Providence_Ethan_020500-ortholines.txt;700;2;05;
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20515;"2;05.15";1;"Mother;";1;eng;795;_Providence_Ethan_020515-ortholines.txt;700;2;05;15
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20526;"2;05.26";2;"Mother;Camera_Operator;";2;eng;877;_Providence_Ethan_020526-ortholines.txt;800;2;05;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20611;"2;06.11";2;"Mother;Camera_Operator;";2;eng;607;_Providence_Ethan_020611-ortholines.txt;600;2;06;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20624;"2;06.24";1;"Mother;";1;eng;712;_Providence_Ethan_020624-ortholines.txt;700;2;06;24
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20709;"2;07.09";2;"Mother;Camera_Operator;";2;eng;759;_Providence_Ethan_020709-ortholines.txt;700;2;07;09
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20725;"2;07.25";1;"Mother;";1;eng;740;_Providence_Ethan_020725-ortholines.txt;700;2;07;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20810;"2;08.10";1;"Mother;";1;eng;844;_Providence_Ethan_020810-ortholines.txt;800;2;08;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20900;"2;09.";1;"Mother;";1;eng;880;_Providence_Ethan_020900-ortholines.txt;800;2;09;
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20907;"2;09.07";2;"Mother;Father;";2;eng;752;_Providence_Ethan_020907-ortholines.txt;700;2;09;07
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;20920;"2;09.20";5;"Mother;Toy;Toy;Toy;Camera_Operator;";2;eng;802;_Providence_Ethan_020920-ortholines.txt;800;2;09;20
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;21005;"2;10.05";1;"Mother;";1;eng;733;_Providence_Ethan_021005-ortholines.txt;700;2;10;05
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;21018;"2;10.18";1;"Mother;";1;eng;716;_Providence_Ethan_021018-ortholines.txt;700;2;10;18
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;21101;"2;11.01";1;"Mother;";1;eng;846;_Providence_Ethan_021101-ortholines.txt;800;2;11;01
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10102;"1;01.02";1;"Mother;";1;eng;1214;_Providence_Lily_010102-ortholines.txt;1200;1;01;02
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10117;"1;01.17";2;"Mother;Toy;";1;eng;1242;_Providence_Lily_010117-ortholines.txt;1200;1;01;17
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Lily;10202;"1;02.02";2;"Mother;Toy;";1;eng;1058;_Providence_Lily_010202-ortholines.txt;1000;1;02;02
